,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
40,Tengen's Attire,Legendary,3,🔑135/0.15viz,Stable,"💎5,625",N/A
41,Boar Mask,Epic,1,🔑10/📜3,Stable,💎1.5k,N/A
42,Flame Breath,Epic,1,🔑15/📜5,Stable,💎1.5k,N/A
43,Kyokokukamusari,Epic,1,🔑90/0.1viz,Stable,💎1.5k,N/A
44,Lightning Breath,Epic,1,🔑15/📜5,Stable,💎1.5k,N/A
45,Rengoku's Attire,Epic,1,🔑15/📜5,Stable,💎1.5k,N/A
46,Blood Art,Rare,1,🔑3/📜1,Stable,💎300,N/A
47,Blood Scythe,Rare,1,🔑3/📜1,Stable,💎300,N/A
48,Tanjiro's Attire,Rare,1,🔑3/📜1,Stable,💎300,N/A
49,Water Breath,Rare,1,🔑3/📜1,Stable,💎300,N/A
50,Nichirin Katana,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
51,Shinobu's Attire,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
52,Slayer Box,Uncommon,1,🔑1/NA,Stable,💎150,N/A
53,Mouth Guard,Common,1,🔑0.5/NA,Stable,💎37,N/A
54,Slayer (F)'s Attire,Common,1,🔑0.5/NA,Stable,💎37,N/A
55,Slayer (M)'s Attire,Common,1,🔑0.5/NA,Stable,💎37,N/A
56,Slayer Mask 1,Common,1,🔑0.5/NA,Stable,💎37,N/A
57,Slayer Mask 2,Common,1,🔑0.5/NA,Stable,💎37,N/A
58,Slayer Mask 3,Common,1,🔑0.5/NA,Stable,💎37,N/A
59,Anime All-Stars [3] Crate,Uncommon,1,🔑7/📜2,Stable,N/A,🪙7k
60,FATE CRATE,​,,,​,,
61,Astolfo's Attire,Legendary,4,🔑135/0.15viz,Stable,"💎5,625",N/A
62,Gilgamesh's Attire,Legendary,4,🔑135/0.15viz,Stable,"💎5,625",N/A
63,Vulcano Caligorante,Legendary,2,🔑90/0.1viz,Stable,"💎5,625",N/A
64,Archer's Attire,Epic,1,🔑20/📜7,Stable,💎1.5k,N/A
65,Gae Bolg,Epic,1,🔑15/📜5,Stable,💎1.5k,N/A
66,Sword Of Rupture,Epic,1,🔑15/📜5,Stable,💎1.5k,N/A
67,Bakuya,Rare,1,🔑3/📜1,Stable,💎300,N/A
68,Kanshou,Rare,1,🔑3/📜1,Stable,💎300,N/A
69,Saber's Attire,Rare,1,🔑3/📜1,Stable,💎300,N/A
70,Bikini's Attire,Uncommon,1,🔑1/NA,Stable,💎150,N/A
71,Caliburn,Uncommon,1,🔑1/NA,Stable,💎150,N/A
72,Luminosite Eternelle,Uncommon,1,🔑10/📜3,Stable,💎150,N/A
73,Priest's Attire,Common,1,🔑0.5/NA,Stable,💎37,N/A
74,Scathatch's Attire,Common,1,🔑0.5/NA,Stable,💎37,N/A
75,Anime All-Stars [4] Crate,Uncommon,1,🔑7/📜2,Stable,N/A,🪙7k
76,NARUTO CRATE,​,,,​,,
77,Gunbai,Legendary,5,🔑180/0.2viz,Stable,"💎5,625",N/A
78,Madara's Attire,Legendary,6,🔑180/0.2viz,Stable,"💎5,625",N/A
79,Susanoo's Wings,Legendary,9,🔑450/0.5viz,Overpriced,"💎5,625",N/A
80,Akatsuki's Attire,Epic,2,🔑35/📜12,Stable,💎1.5k,N/A
81,Crow Clone,Epic,2,🔑25/📜8,Stable,💎1.5k,N/A
82,Samehada,Epic,2,🔑20/📜7,Stable,💎1.5k,N/A
83,Sasuke's Attire,Epic,2,🔑35/📜12,Stable,💎1.5k,N/A
84,Truth Seeking Orbs,Epic,3,🔑30/📜10,Stable,💎1.5k,N/A
85,Kubikirbocho,Rare,1,🔑3/📜1,Stable,💎300,N/A
86,Lightning Flow,Rare,1,🔑3/📜1,Stable,💎300,N/A
87,Naruto's Attire,Rare,1,🔑3/📜1,Stable,💎300,N/A
88,Obito's Mask,Rare,1,🔑3/📜1,Stable,💎300,N/A
89,Hinata's Attire,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
90,Ninja War's Attire,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
91,Sand Jar,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
92,Shukaku's Sand,Uncommon,1,🔑2/📜1,Stable,💎150,N/A
93,Kusanagi,Common,1,🔑1/NA,Stable,💎37,N/A
94,Rock Lee's Attire,Common,1,🔑1/NA,Stable,💎37,N/A
95,Shinobi Headband,Common,1,🔑1/NA,Stable,💎37,N/A
96,Anime All-Stars [5] Crate,Uncommon,4,🔑3/NA,Stable,N/A,🪙7k
97,MIXED CRATE 1,​,,,​,,
98,Berserker's Attire,Legendary,7,🔑270/0.3viz,Overpriced,"💎5,625",N/A
99,Shadow's Attire,Legendary,8,🔑270/0.3viz,Overpriced,"💎5,625",N/A
100,Slime Sword,Legendary,7,🔑135/0.15viz,Overpriced,"💎5,625",N/A
101,The Dragon Slayer,Legendary,5,🔑180/0.2viz,Overpriced,"💎5,625",N/A
102,Astolfo [2]'s Attire,Epic,2,🔑20/📜7,Stable,💎1.5k,N/A
103,Devil's Wing,Epic,2,🔑60/📜20,Stable,💎1.5k,N/A
104,Spirit's Wing,Epic,2,🔑45/📜15,Stable,💎1.5k,N/A
105,The Perfect Idol,Epic,2,🔑25/📜8,Stable,💎1.5k,N/A
106,Demon Dweller,Rare,1,🔑3/📜1,Stable,💎300,N/A
107,Miku's Attire,Rare,1,🔑3/📜1,Stable,💎300,N/A
108,Philosopher's Energy,Rare,1,🔑3/📜1,Stable,💎300,N/A
109,Terrible Tornado,Rare,1,🔑3/📜1,Stable,💎300,N/A
110,Ape Tail,Uncommon,1,🔑3/📜1,Stable,💎150,N/A
111,Saitama's Attire,Uncommon,1,🔑3/📜1,Stable,💎150,N/A
112,Zero Two's Horns,Uncommon,1,🔑3/📜1,Stable,💎150,N/A
113,Idol's Attire,Common,1,🔑1/NA,Stable,💎37,N/A
114,Z Sword,Common,1,🔑1/NA,Stable,💎37,N/A
115,Goku's Attire,Common,1,🔑1/NA,Stable,💎37,N/A
116,Anime All-Stars [6] Crate,Uncommon,4,🔑3/📜1,Stable,N/A,🪙7k
117,BLADE BURST CRATE 1,​,,,​,,
118,Azure Flames,Legendary,5,🔑900/1viz,Rising,💎6.75k,N/A
119,Cosmic Nova,Legendary,3,🔑270/0.3viz,Stable,💎6.75k,N/A
120,Titanstrike,Legendary,3,🔑225/0.25viz,Stable,💎6.75k,N/A
121,Ignited,Legendary,3,🔑225/0.25viz,Stable,💎6.75k,N/A
122,Rose Petal,Epic,1,🔑15/📜5,Stable,💎1.8k,N/A
123,Bloodletting,Epic,1,🔑15/📜5,Stable,💎1.8k,N/A
124,Demonic Gaze,Epic,1,🔑15/📜5,Stable,💎1.8k,N/A
125,Starry Night,Epic,1,🔑15/📜5,Stable,💎1.8k,N/A
126,Blue Mechanitor,Rare,1,🔑2/📜1,Stable,💎360,N/A
127,Frostbite,Rare,1,🔑3/📜1,Stable,💎360,N/A
128,Ink,Rare,1,🔑3/📜1,Stable,💎360,N/A
129,Mechanitor,Rare,1,🔑2/📜1,Stable,💎360,N/A
130,Aqua Whisper,Uncommon,1,🔑1/NA,Stable,💎180,N/A
131,Autumnal,Uncommon,1,🔑1/NA,Stable,💎180,N/A
132,Photon,Uncommon,1,🔑1/NA,Stable,💎180,N/A
133,Snow Lilies,Uncommon,1,🔑1/NA,Stable,💎180,N/A
134,Bubble Swirl,Common,1,🔑0.5/NA,Stable,💎45,N/A
135,Company Standard,Common,1,🔑0.5/NA,Stable,💎45,N/A
136,Plucked Wings,Common,1,🔑0.5/NA,Stable,💎45,N/A
137,Will of the Wisps,Common,1,🔑0.5/NA,Stable,💎45,N/A
138,Blade Burst [1] Crate,Rare,1,🔑10/📜3,Stable,N/A,🪙13k
139,BLADE BURST CRATE 2,​,,,​,,
140,Chroma Surge,Legendary,5,🔑180/0.2viz,Stable,💎6.75k,N/A
141,Dawnbreak,Legendary,8,🔑630/0.7viz,Overpriced,💎6.75k,N/A
142,Internet Girl,Legendary,5,🔑270/0.3viz,Stable,💎6.75k,N/A
143,Luminance,Legendary,7,🔑360/0.4viz,Stable,💎6.75k,N/A
144,Arcane Surge,Epic,2,🔑20/📜7,Stable,💎1.8k,N/A
145,Cosmic Dust,Epic,2,🔑20/📜7,Stable,💎1.8k,N/A
146,Diamonds,Epic,2,🔑20/📜7,Stable,💎1.8k,N/A
147,Verdant Glow,Epic,2,🔑20/📜7,Stable,💎1.8k,N/A
148,Bloodrot,Rare,1,🔑3/📜1,Stable,💎360,N/A
149,Fireworks,Rare,1,🔑3/📜1,Stable,💎360,N/A
150,Permafrost,Rare,1,🔑3/📜1,Stable,💎360,N/A
151,Solar Radiance,Rare,1,🔑3/📜1,Stable,💎360,N/A
152,Iridescent Waves,Uncommon,1,🔑2/📜1,Stable,💎180,N/A
153,Pink Hearts,Uncommon,1,🔑2/📜1,Stable,💎180,N/A
154,Riptide,Uncommon,1,🔑2/📜1,Stable,💎180,N/A
155,Silver Bubbles,Uncommon,1,🔑2/📜1,Stable,💎180,N/A
156,Clovers,Common,1,🔑0.5/NA,Stable,💎45,N/A
157,Pixel Flames,Common,1,🔑0.5/NA,Stable,💎45,N/A
158,Rotting,Common,1,🔑0.5/NA,Stable,💎45,N/A
159,Sparkles,Common,1,🔑0.5/NA,Stable,💎45,N/A
160,Blade Burst [2] Crate,Rare,5,🔑5/📜2,Stable,N/A,🪙13k
161,SCOUT FASHION CRATE 1,​,,,​,,
162,Maid's Attire,Legendary,2,🔑180/0.2viz,Stable,💎4.5k,N/A
163,Cat Ears,Legendary,2,🔑135/0.15viz,Stable,💎4.5k,N/A
164,Kenny's Attire,Epic,1,🔑10/📜3,Stable,💎1.2k,N/A
165,Maiden's Hat,Epic,1,🔑30/📜10,Stable,💎1.2k,N/A
166,Maiden's Attire,Epic,1,🔑90/0.1viz,Stable,💎1.2k,N/A
167,Pajama Hat,Rare,1,🔑3/📜1,Stable,💎240,N/A
168,Pajama's Attire,Rare,1,🔑5/📜2,Stable,💎240,N/A
169,Kenny's Hat,Rare,1,🔑3/📜1,Stable,💎240,N/A
170,Jolly Mascot's Hat,Uncommon,1,🔑5/📜2,Stable,💎120,N/A
171,Jolly Mascot's Attire,Uncommon,1,🔑5/📜2,Stable,💎120,N/A
172,Detective's Attire,Uncommon,1,🔑5/📜2,Stable,💎120,N/A
173,Ninja's Attire,Uncommon,1,🔑2/📜1,Stable,💎120,N/A
174,Cleaning Mask,Common,1,🔑0.2/NA,Stable,💎30,N/A
175,Monk's Attire,Common,1,🔑1/NA,Stable,💎30,N/A
176,Scout Fashion [1] Crate,Common,1,🔑6/📜2,Stable,N/A,🪙3k
177,SCOUT FASHION CRATE 2,​,,,​,,
178,Angel's Wings,Mythic,7,🔑900/1viz,Dropping,💎15k,N/A
179,Bunny Girl's Attire,Mythic,5,🔑360/0.4viz,Dropping,💎15k,N/A
180,Berserker's Mane,Legendary,3,🔑90/0.1viz,Stable,💎4.5k,N/A
181,Bunny Girl's Ears,Legendary,5,🔑90/0.1viz,Stable,💎4.5k,N/A
182,Shogun's Attire,Legendary,4,🔑135/0.15viz,Stable,💎4.5k,N/A
183,Pirate's Attire,Epic,2,🔑15/📜5,Stable,💎1.2k,N/A
184,Plague Doctor's Mask,Epic,1,🔑15/📜5,Stable,💎1.2k,N/A
185,Steampunker's Attire,Epic,1,🔑15/📜5,Stable,💎1.2k,N/A
186,Cowboy's Attire,Rare,1,🔑3/📜1,Stable,💎240,N/A
187,Pirate's Hat,Rare,1,🔑3/📜1,Stable,💎240,N/A
188,Steampunker's Hat,Rare,1,🔑3/📜1,Stable,💎240,N/A
189,Banana's Attire,Uncommon,1,🔑2/📜1,Stable,💎120,N/A
190,Chef's Attire,Uncommon,1,🔑2/📜1,Stable,💎120,N/A
191,Chef's Toque Blanche,Uncommon,1,🔑2/📜1,Stable,💎120,N/A
192,Mask of the Devil,Uncommon,1,🔑2/📜1,Stable,💎120,N/A
193,Baseball Cap,Common,1,🔑0.2/NA,Stable,💎30,N/A
194,Citizen's Attire,Common,1,🔑0.2/NA,Stable,💎30,N/A
195,Scout Fashion [2] Crate,Common,1,🔑2/📜1,Stable,N/A,🪙3k
196,HALLOWEEN 2024,​,,,​,,
197,Forsaken,Events,4,🔑450/0.5viz,Stable,N/A,🪙100k
198,Jack 'o Lantern,Events,2,🔑360/0.4viz,Stable,N/A,🪙100k
199,Witch Hat,Events,2,🔑720/0.8viz,Stable,N/A,🪙100k
200,Axe Head,Events,2,🔑135/0.15viz,Stable,N/A,🪙100k
201,Blade Head,Events,2,🔑180/0.2viz,Stable,N/A,🪙100k
202,Butcher Blade,Events,2,🔑450/0.5viz,Stable,N/A,🪙100k
203,Green Aura with Flies,Events,2,🔑135/0.15viz,Stable,N/A,🪙100k
204,Ski Mask,Events,2,🔑180/0.2viz,Stable,N/A,🪙100k
205,Green Skeleton's Attire,Events,4,🔑180/0.2viz,Stable,N/A,🪙100k
206,White Skeleton's Attire,Events,5,🔑360/0.4viz,Stable,N/A,🪙100k
207,Halloween Crate,Events,1,🔑450/0.5viz,Stable,N/A,🪙100k
208,CHRISTMAS 2024,​,,,​,,
209,Grumpy,Events,2,🔑270/0.3viz,Stable,N/A,🪙100k
210,Santa Hat,Events,2,🔑360/0.3viz,Stable,N/A,🪙100k
211,Elf Hat,Events,4,🔑720/0.8viz,Stable,N/A,🪙100k
212,Candy Cane Blades,Events,5,🔑720/0.8viz,Stable,N/A,🪙100k
213,Christmas Gear,Events,2,🔑180/0.2viz,Stable,N/A,🪙100k
214,Christmas Sheath,Events,2,🔑360/0.4viz,Stable,N/A,🪙100k
215,Cookie,Events,3,🔑360/0.4viz,Stable,N/A,🪙100k
216,Gingerbread Blades,Events,1,🔑270/0.3viz,Stable,N/A,🪙100k
217,Hot Chocolate,Events,2,🔑360/0.4viz,Stable,N/A,🪙100k
218,Pointy Candy Cane Blades,Events,4,🔑540/0.6viz,Stable,N/A,🪙100k
219,Santa Sack,Events,3,🔑360/0.4viz,Stable,N/A,🪙100k
220,Snowman Head,Events,3,🔑450/0.5viz,Stable,N/A,🪙100k
221,Christmas Crate,Events,1,🔑450/0.5viz,Stable,N/A,🪙100k
222,EASTER 2025,​,,,​,,
223,Equinox Moon,Events,5,🔑720/0.8viz,Stable,N/A,🪙100k
224,🗿,Events,3,🔑180/0.2viz,Stable,N/A,🪙100k
225,Bunny Ears,Events,1,🔑90/0.1viz,Stable,N/A,🪙100k
226,Carrot,Events,1,🔑60/📜20,Stable,N/A,🪙100k
227,Chicken,Events,1,🔑60/📜20,Stable,N/A,🪙100k
228,Cracked Shell,Events,1,🔑60/📜20,Stable,N/A,🪙100k
229,Easter Bunny's Attire,Events,2,🔑90/0.1viz,Stable,N/A,🪙100k
230,Easter Spear Gear,Events,1,🔑90/0.1viz,Stable,N/A,🪙100k
231,Farmer Hat,Events,1,🔑90/0.1viz,Stable,N/A,🪙100k
232,Farmer's Attire,Events,2,🔑90/0.1viz,Stable,N/A,🪙100k
233,Moai,Events,1,🔑180/0.2viz,Stable,N/A,🪙100k
234,Rabbit Foot Necklace,Events,1,🔑60/📜20,Stable,N/A,🪙100k
235,Easter Crate,Events,1,🔑180/0.2viz,Stable,N/A,🪙100k
236,CHRISTMAS 2025,​,,,​,,
237,Cinderlord,Events,3,🔑20/📜7,Stable,N/A,🪙100k
238,Krampus,Events,2,🔑15/📜5,Stable,N/A,🪙100k
239,Candy Canes,Events,1,🔑5/📜2,Stable,N/A,🪙100k
240,Christmas Constellation,Events,1,🔑5/📜2,Stable,N/A,🪙100k
241,Festive Blade Gear,Events,1,🔑5/📜2,Stable,N/A,🪙100k
242,Festive Sheath,Events,1,🔑5/📜2,Stable,N/A,🪙100k
243,Festive Spear Equipment,Events,1,🔑5/📜2,Stable,N/A,🪙100k
244,Festive Spear Gear,Events,1,🔑5/📜2,Stable,N/A,🪙100k
245,Frosty Flakes,Events,1,🔑5/📜2,Stable,N/A,🪙100k
246,Rudolph Headband,Events,1,🔑5/📜2,Stable,N/A,🪙100k
247,Santa's Attire,Events,1,🔑5/📜2,Stable,N/A,🪙100k
248,Snow Globe,Events,1,🔑5/📜2,Stable,N/A,🪙100k
249,Wreath Halo,Events,1,🔑5/📜2,Stable,N/A,🪙100k
250,BATTLEPASS 1,​,,,​,,
251,Spirit ODM Set,Rare,1,🔑90/0.1viz,Stable,N/A,🪙13k
252,Onikiri,Mythic,6,🔑2.7k/3viz,Dropping,N/A,🪙200k
253,BATTLEPASS 2,​,,,​,,
254,Aincrad ODM Set,Epic,4,🔑495/0.55viz,Stable,N/A,🪙30k
255,Elderflame ODM Set,Legendary,4,🔑720/0.8viz,Stable,N/A,🪙58k
256,Icarus TS Set,Legendary,6,"🔑2,025/2.25viz",Stable,N/A,🪙58k
257,Jotunn,Mythic,5,"🔑1,260/1.4viz",Stable,N/A,🪙200k
258,BATTLEPASS 3,​,,,​,,
259,Sunforge ODM Set,Epic,1,🔑10/📜3,Stable,N/A,🪙30k
260,Sunforge TS Set,Epic,1,🔑10/📜3,Stable,N/A,🪙30k
261,Pulsar ODM Set,Legendary,2,🔑20/📜7,Stable,N/A,🪙58k
262,Pulsar TS Set,Legendary,2,🔑20/📜7,Stable,N/A,🪙58k
263,Deus Ex Machina,Mythic,4,🔑270/0.3viz,Stable,N/A,🪙200k
264,ACHIEVEMENT/BADGES,​,,,​,,
265,Nightfall,Mythic,2,🔑10/📜3,Stable,N/A,🪙200k
266,Drippy Glasses,Legendary,1,🔑1/NA,Stable,N/A,🪙58k
267,Onyx Set,Epic,1,🔑1/NA,Stable,N/A,🪙30k
268,Headband,Epic,1,🔑1/NA,Stable,N/A,🪙30k
269,Tiara,Epic,1,🔑1/NA,Stable,N/A,🪙30k
270,Bladed Gauntlets,Epic,1,🔑1/NA,Stable,N/A,🪙30k
271,Military Attire,Rare,1,🔑90/0.1viz,Stable,N/A,🪙13k
272,EASTER EGG COSMETICS,​,,,​,,
273,Onikiri ODM set,Legendary,4,🔑90/0.1viz,Stable,N/A,🪙58k
274,Onikiri TS set,Legendary,6,🔑60/📜20,Stable,N/A,🪙58k
275,jötuun ODM set,Legendary,5,🔑120/0.13viz,Stable,N/A,🪙58k
276,jötuun TS set,Legendary,6,🔑90/0.1viz,Stable,N/A,🪙58k
277,Deus Ex Machina ODM set,Legendary,5,🔑180/0.2viz,Unstable,N/A,🪙58k
278,Deus Ex Machina TS set,Legendary,4,🔑135/0.15viz,Unstable,N/A,🪙58k
